Name,District,Type,Description,SchoolYear
SMITHVILLE ISD,11904,G,NON-METROPOLITAN STABLE,2007-08
SMYER ISD,110906,H,RURAL,2007-08
SNOOK ISD,26903,H,RURAL,2007-08
SNYDER ISD,208902,G,NON-METROPOLITAN STABLE,2007-08
SOCORRO ISD,71909,B,MAJOR SUBURBAN,2007-08
SOMERSET ISD,15909,G,NON-METROPOLITAN STABLE,2007-08
SOMERVILLE ISD,26902,H,RURAL,2007-08
SONORA ISD,218901,G,NON-METROPOLITAN STABLE,2007-08
SOUTH PLAINS,152803,I,CHARTER SCHOOL DISTRICTS,2007-08
SOUTH SAN ANTONIO ISD,15908,B,MAJOR SUBURBAN,2007-08
SOUTH TEXAS ISD,31916,F,NON-METROPOLITAN FAST GROWING,2007-08
SOUTHLAND ISD,85903,H,RURAL,2007-08
SOUTHSIDE ISD,15917,B,MAJOR SUBURBAN,2007-08
SOUTHWEST ISD,15912,B,MAJOR SUBURBAN,2007-08
SOUTHWEST PREPARATORY SCHOOL,15807,I,CHARTER SCHOOL DISTRICTS,2007-08
SOUTHWEST SCHOOL,101838,I,CHARTER SCHOOL DISTRICTS,2007-08
SPEARMAN ISD,98904,G,NON-METROPOLITAN STABLE,2007-08
SPLENDORA ISD,170907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SPRING BRANCH ISD,101920,B,MAJOR SUBURBAN,2007-08
SPRING CREEK ISD,117907,H,RURAL,2007-08
SPRING HILL ISD,92907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SPRING ISD,101919,B,MAJOR SUBURBAN,2007-08
SPRINGLAKE-EARTH ISD,140907,H,RURAL,2007-08
SPRINGTOWN ISD,184902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SPUR ISD,63903,H,RURAL,2007-08
SPURGER ISD,229905,H,RURAL,2007-08
ST ANTHONY SCHOOL,57836,I,CHARTER SCHOOL DISTRICTS,2007-08
ST MARY'S ACADEMY CHARTER SCHOOL,13801,I,CHARTER SCHOOL DISTRICTS,2007-08
STAFFORD MSD,79910,B,MAJOR SUBURBAN,2007-08
STAMFORD ISD,127906,H,RURAL,2007-08
STANTON ISD,156902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
STAR CHARTER SCHOOL,227814,I,CHARTER SCHOOL DISTRICTS,2007-08
STAR ISD,167903,H,RURAL,2007-08
STEPHENVILLE,72903,E,INDEPENDENT TOWN,2007-08
STEPPING STONES CHARTER EL,101859,I,CHARTER SCHOOL DISTRICTS,2007-08
STERLING CITY ISD,216901,H,RURAL,2007-08
STOCKDALE ISD,247906,G,NON-METROPOLITAN STABLE,2007-08
STRATFORD ISD,211902,H,RURAL,2007-08
STRAWN ISD,182905,H,RURAL,2007-08
SUDAN ISD,140908,H,RURAL,2007-08
SULPHUR BLUFF ISD,112910,H,RURAL,2007-08
SULPHUR SPRINGS ISD,112901,E,INDEPENDENT TOWN,2007-08
SUNDOWN ISD,110907,H,RURAL,2007-08
SUNNYVALE ISD,57919,F,NON-METROPOLITAN FAST GROWING,2007-08
SUNRAY ISD,171902,H,RURAL,2007-08
SWEENY ISD,20906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SWEET HOME ISD,143905,H,RURAL,2007-08
SWEETWATER ISD,177902,G,NON-METROPOLITAN STABLE,2007-08
TAFT ISD,205907,G,NON-METROPOLITAN STABLE,2007-08
TAHOKA ISD,153904,H,RURAL,2007-08
TARKINGTON ISD,146907,G,NON-METROPOLITAN STABLE,2007-08
TATUM ISD,201910,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TAYLOR ISD,246911,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TEAGUE ISD,81904,G,NON-METROPOLITAN STABLE,2007-08
TECHNOLOGY EDUCATION CHARTER HIGH,108802,I,CHARTER SCHOOL DISTRICTS,2007-08
TEKOA ACADEMY OF ACCELERATED STUDI,123803,I,CHARTER SCHOOL DISTRICTS,2007-08
TEMPLE EDUCATION CENTER,14803,I,CHARTER SCHOOL DISTRICTS,2007-08
TEMPLE ISD,14909,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TENAHA ISD,210904,H,RURAL,2007-08
TERLINGUA CSD,22004,H,RURAL,2007-08
TERRELL COUNTY ISD,222901,H,RURAL,2007-08
TERRELL ISD,129906,G,NON-METROPOLITAN STABLE,2007-08
TEXARKANA ISD,19907,E,INDEPENDENT TOWN,2007-08
TEXAS CITY ISD,84906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TEXAS EMPOWERMENT ACADEMY,227805,I,CHARTER SCHOOL DISTRICTS,2007-08
TEXAS PREPARATORY SCHOOL,105802,I,CHARTER SCHOOL DISTRICTS,2007-08
TEXAS SERENITY ACADEMY,170801,I,CHARTER SCHOOL DISTRICTS,2007-08
TEXHOMA ISD,211901,H,RURAL,2007-08
TEXLINE ISD,56902,H,RURAL,2007-08
THE RHODES SCHOOL,101861,I,CHARTER SCHOOL DISTRICTS,2007-08
THERESA B LEE ACADEMY,220806,I,CHARTER SCHOOL DISTRICTS,2007-08
THORNDALE ISD,166905,H,RURAL,2007-08
THRALL ISD,246912,H,RURAL,2007-08
THREE RIVERS ISD,149902,H,RURAL,2007-08
THREE WAY ISD,72901,H,RURAL,2007-08
THROCKMORTON ISD,224901,H,RURAL,2007-08
TIDEHAVEN ISD,158902,G,NON-METROPOLITAN STABLE,2007-08
TIMPSON ISD,210905,H,RURAL,2007-08
TIOGA ISD,91907,H,RURAL,2007-08
TOLAR ISD,111903,E,INDEPENDENT TOWN,2007-08
TOM BEAN ISD,91918,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TOMBALL ISD,101921,B,MAJOR SUBURBAN,2007-08
TORNILLO ISD,71908,G,NON-METROPOLITAN STABLE,2007-08
TRANSFORMATIVE CHARTER ACADEMY,14802,I,CHARTER SCHOOL DISTRICTS,2007-08
TREETOPS SCHOOL INTERNATIONAL,220801,I,CHARTER SCHOOL DISTRICTS,2007-08
TRENT ISD,221905,H,RURAL,2007-08
TRENTON ISD,74912,H,RURAL,2007-08
TRINIDAD ISD,107907,H,RURAL,2007-08
TRINITY BASIN PREPARATORY,57813,I,CHARTER SCHOOL DISTRICTS,2007-08
TRINITY CHARTER SCHOOL,46802,I,CHARTER SCHOOL DISTRICTS,2007-08
TRINITY ISD,228903,G,NON-METROPOLITAN STABLE,2007-08
TROUP ISD,212904,G,NON-METROPOLITAN STABLE,2007-08
TROY ISD,14910,G,NON-METROPOLITAN STABLE,2007-08
TULIA ISD,219903,G,NON-METROPOLITAN STABLE,2007-08
TULOSO-MIDWAY ISD,178912,D,OTHER CENTRAL CITY SUBURBAN,2007-08
TURKEY-QUITAQUE ISD,96905,H,RURAL,2007-08
TWO DIMENSIONS PREPARATORY ACADEMY,101840,I,CHARTER SCHOOL DISTRICTS,2007-08
TYLER ISD,212905,C,OTHER CENTRAL CITY,2007-08
UNION GROVE ISD,230908,G,NON-METROPOLITAN STABLE,2007-08
UNION HILL ISD,230904,H,RURAL,2007-08
UNITED ISD,240903,C,OTHER CENTRAL CITY,2007-08
UNIVERSAL ACADEMY,57808,I,CHARTER SCHOOL DISTRICTS,2007-08
UNIVERSITY OF HOUSTON CHARTER SCHO,101807,I,CHARTER SCHOOL DISTRICTS,2007-08
UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,I,CHARTER SCHOOL DISTRICTS,2007-08
UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,I,CHARTER SCHOOL DISTRICTS,2007-08
UTOPIA ISD,232904,H,RURAL,2007-08
UVALDE CISD,232903,E,INDEPENDENT TOWN,2007-08
VALENTINE ISD,122902,H,RURAL,2007-08
VALLEY MILLS ISD,18904,H,RURAL,2007-08
VALLEY VIEW ISD,49903,H,RURAL,2007-08
VALLEY VIEW ISD,108916,D,OTHER CENTRAL CITY SUBURBAN,2007-08
VAN ALSTYNE ISD,91908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
VAN ISD,234906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
VAN VLECK ISD,158906,G,NON-METROPOLITAN STABLE,2007-08
VANGUARD ACADEMY,108808,I,CHARTER SCHOOL DISTRICTS,2007-08
VARNETT CHARTER SCHOOL,101814,I,CHARTER SCHOOL DISTRICTS,2007-08
VEGA ISD,180902,H,RURAL,2007-08
VENUS ISD,126908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
VERIBEST ISD,226908,H,RURAL,2007-08
VERNON ISD,244903,G,NON-METROPOLITAN STABLE,2007-08
VICTORIA ISD,235902,E,INDEPENDENT TOWN,2007-08
VIDOR ISD,181907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
VYSEHRAD ISD,143904,H,RURAL,2007-08
WACO CHARTER SCHOOL,161801,I,CHARTER SCHOOL DISTRICTS,2007-08
WACO ISD,161914,C,OTHER CENTRAL CITY,2007-08
WAELDER ISD,89905,H,RURAL,2007-08
WALCOTT ISD,59902,H,RURAL,2007-08
WALL ISD,226906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WALLER ISD,237904,E,INDEPENDENT TOWN,2007-08
WALNUT BEND ISD,49908,H,RURAL,2007-08
WALNUT SPRINGS ISD,18905,H,RURAL,2007-08
WARREN ISD,229904,F,NON-METROPOLITAN FAST GROWING,2007-08
WASKOM ISD,102903,H,RURAL,2007-08
WATER VALLEY ISD,226905,H,RURAL,2007-08
WAXAHACHIE FAITH FAMILY ACADEMY,70801,I,CHARTER SCHOOL DISTRICTS,2007-08
WAXAHACHIE ISD,70912,C,OTHER CENTRAL CITY,2007-08
WEATHERFORD ISD,184903,C,OTHER CENTRAL CITY,2007-08
WEBB CISD,240904,H,RURAL,2007-08
WEIMAR ISD,45905,H,RURAL,2007-08
WELLINGTON ISD,44902,H,RURAL,2007-08
WELLMAN-UNION CISD,223904,H,RURAL,2007-08
WELLS ISD,37909,H,RURAL,2007-08
WESLACO ISD,108913,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WEST HARDIN COUNTY CISD,100908,H,RURAL,2007-08
WEST HOUSTON CHARTER SCHOOL,101803,I,CHARTER SCHOOL DISTRICTS,2007-08
WEST ISD,161916,G,NON-METROPOLITAN STABLE,2007-08
WEST ORANGE-COVE CISD,181906,G,NON-METROPOLITAN STABLE,2007-08
WEST OSO ISD,178915,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WEST RUSK ISD,201914,G,NON-METROPOLITAN STABLE,2007-08
WEST SABINE ISD,202905,H,RURAL,2007-08
WESTBROOK ISD,168903,H,RURAL,2007-08
WESTHOFF ISD,62905,H,RURAL,2007-08
WESTLAKE ACADEMY CHARTER SCHOOL,220810,I,CHARTER SCHOOL DISTRICTS,2007-08
WESTPHALIA ISD,73904,H,RURAL,2007-08
WESTWOOD ISD,1908,G,NON-METROPOLITAN STABLE,2007-08
WHARTON ISD,241904,G,NON-METROPOLITAN STABLE,2007-08
WHEELER ISD,242903,H,RURAL,2007-08
WHITE DEER ISD,33904,H,RURAL,2007-08
WHITE OAK ISD,92908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WHITE SETTLEMENT ISD,220920,B,MAJOR SUBURBAN,2007-08
WHITEFACE CISD,40902,H,RURAL,2007-08
WHITEHOUSE ISD,212906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WHITESBORO ISD,91909,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WHITEWRIGHT ISD,91910,G,NON-METROPOLITAN STABLE,2007-08
WHITHARRAL ISD,110908,H,RURAL,2007-08
WHITNEY ISD,109911,E,INDEPENDENT TOWN,2007-08
WICHITA FALLS ISD,243905,C,OTHER CENTRAL CITY,2007-08
WILDORADO ISD,180904,H,RURAL,2007-08
WILLIS ISD,170904,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WILLS POINT ISD,234907,E,INDEPENDENT TOWN,2007-08
WILSON ISD,153907,H,RURAL,2007-08
WIMBERLEY ISD,105905,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WINDTHORST ISD,5904,H,RURAL,2007-08
WINFIELD ISD,225905,H,RURAL,2007-08
WINFREE ACADEMY CHARTER SCHOOLS,57828,I,CHARTER SCHOOL DISTRICTS,2007-08
WINK-LOVING ISD,248902,H,RURAL,2007-08
WINNSBORO ISD,250907,E,INDEPENDENT TOWN,2007-08
WINONA ISD,212910,D,OTHER CENTRAL CITY SUBURBAN,2007-08
WINTERS ISD,200904,H,RURAL,2007-08
WODEN ISD,174906,G,NON-METROPOLITAN STABLE,2007-08
WOLFE CITY ISD,116909,H,RURAL,2007-08
WOODSBORO ISD,196902,H,RURAL,2007-08
WOODSON ISD,224902,H,RURAL,2007-08
WOODVILLE ISD,229903,G,NON-METROPOLITAN STABLE,2007-08
WORTHAM ISD,81905,H,RURAL,2007-08
WYLIE ISD,43914,F,NON-METROPOLITAN FAST GROWING,2007-08
WYLIE ISD,221912,D,OTHER CENTRAL CITY SUBURBAN,2007-08
YANTIS ISD,250905,H,RURAL,2007-08
YES PREPARATORY PUBLIC SCHOOLS,101845,I,CHARTER SCHOOL DISTRICTS,2007-08
YOAKUM ISD,62903,G,NON-METROPOLITAN STABLE,2007-08
YORKTOWN ISD,62904,H,RURAL,2007-08
YSLETA ISD,71905,A,MAJOR URBAN,2007-08
ZAPATA COUNTY ISD,253901,D,OTHER CENTRAL CITY SUBURBAN,2007-08
ZAVALLA ISD,3906,H,RURAL,2007-08
ZEPHYR ISD,25906,H,RURAL,2007-08
ZOE LEARNING ACADEMY,101850,I,CHARTER SCHOOL DISTRICTS,2007-08
A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,I,CHARTER SCHOOL DISTRICTS,2014-15
A+ ACADEMY,057829,I,CHARTER SCHOOL DISTRICTS,2014-15
ABBOTT ISD,109901,H,RURAL,2014-15
ABERNATHY ISD,095901,H,RURAL,2014-15
ABILENE ISD,221901,C,OTHER CENTRAL CITY,2014-15
ACADEMY FOR ACADEMIC EXCELLENCE,057814,I,CHARTER SCHOOL DISTRICTS,2014-15
ACADEMY ISD,014901,F,NON-METROPOLITAN FAST GROWING,2014-15
ACADEMY OF ACCELERATED LEARNING IN,101810,I,CHARTER SCHOOL DISTRICTS,2014-15
ACADEMY OF CAREERS AND TECHNOLOGIE,015816,I,CHARTER SCHOOL DISTRICTS,2014-15
ACADEMY OF DALLAS,057810,I,CHARTER SCHOOL DISTRICTS,2014-15
ACCELERATED INTERMEDIATE ACADEMY,101849,I,CHARTER SCHOOL DISTRICTS,2014-15
ADRIAN ISD,180903,H,RURAL,2014-15
ADVANTAGE ACADEMY,057806,I,CHARTER SCHOOL DISTRICTS,2014-15
AGUA DULCE ISD,178901,H,RURAL,2014-15
ALAMO HEIGHTS ISD,015901,B,MAJOR SUBURBAN,2014-15
ALBA-GOLDEN ISD,250906,H,RURAL,2014-15
ALBANY ISD,209901,H,RURAL,2014-15
ALDINE ISD,101902,B,MAJOR SUBURBAN,2014-15
ALEDO ISD,184907,B,MAJOR SUBURBAN,2014-15
ALICE ISD,125901,E,INDEPENDENT TOWN,2014-15
ALIEF ISD,101903,B,MAJOR SUBURBAN,2014-15
ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,CHARTER SCHOOL DISTRICTS,2014-15
ALLEN ISD,043901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ALPHA CHARTER SCHOOL,057832,I,CHARTER SCHOOL DISTRICTS,2014-15
ALPINE ISD,022901,G,NON-METROPOLITAN STABLE,2014-15
ALTO ISD,037901,H,RURAL,2014-15
ALVARADO ISD,126901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ALVIN ISD,020901,B,MAJOR SUBURBAN,2014-15
ALVORD ISD,249901,H,RURAL,2014-15
AMARILLO ISD,188901,C,OTHER CENTRAL CITY,2014-15
AMBASSADORS PREPARATORY ACADEMY,084804,I,CHARTER SCHOOL DISTRICTS,2014-15
AMHERST ISD,140901,H,RURAL,2014-15
AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,CHARTER SCHOOL DISTRICTS,2014-15
ANAHUAC ISD,036901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ANDERSON-SHIRO CISD,093901,E,INDEPENDENT TOWN,2014-15
ANDREWS ISD,002901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ANGLETON ISD,020902,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ANNA ISD,043902,F,NON-METROPOLITAN FAST GROWING,2014-15
ANSON ISD,127901,H,RURAL,2014-15
ANTHONY ISD,071906,G,NON-METROPOLITAN STABLE,2014-15
ANTON ISD,110901,H,RURAL,2014-15
APPLE SPRINGS ISD,228905,H,RURAL,2014-15
AQUILLA ISD,109912,H,RURAL,2014-15
ARANSAS COUNTY ISD,004901,E,INDEPENDENT TOWN,2014-15
ARANSAS PASS ISD,205901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ARCHER CITY ISD,005901,H,RURAL,2014-15
ARGYLE ISD,061910,D,OTHER CENTRAL CITY SUBURBAN,2014-15
ARISTOI CLASSICAL ACADEMY,101803,I,CHARTER SCHOOL DISTRICTS,2014-15
ARLINGTON CLASSICS ACADEMY,220802,I,CHARTER SCHOOL DISTRICTS,2014-15
ARLINGTON ISD,220901,A,MAJOR URBAN,2014-15
ARP ISD,212901,G,NON-METROPOLITAN STABLE,2014-15
ARROW ACADEMY,021805,I,CHARTER SCHOOL DISTRICTS,2014-15
ASPERMONT ISD,217901,H,RURAL,2014-15
ATHENS ISD,107901,E,INDEPENDENT TOWN,2014-15
ATLANTA ISD,034901,E,INDEPENDENT TOWN,2014-15
AUBREY ISD,061907,D,OTHER CENTRAL CITY SUBURBAN,2014-15
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,CHARTER SCHOOL DISTRICTS,2014-15
AUSTIN DISCOVERY SCHOOL,227821,I,CHARTER SCHOOL DISTRICTS,2014-15
AUSTIN ISD,227901,A,MAJOR URBAN,2014-15
AUSTWELL-TIVOLI ISD,196901,H,RURAL,2014-15
AVALON ISD,070901,H,RURAL,2014-15
AVERY ISD,194902,H,RURAL,2014-15
AVINGER ISD,034902,H,RURAL,2014-15
AXTELL ISD,161918,H,RURAL,2014-15
AZLE ISD,220915,B,MAJOR SUBURBAN,2014-15
BAIRD ISD,030903,H,RURAL,2014-15
BALLINGER ISD,200901,G,NON-METROPOLITAN STABLE,2014-15
BALMORHEA ISD,195902,H,RURAL,2014-15
BANDERA ISD,010902,B,MAJOR SUBURBAN,2014-15
BANGS ISD,025901,G,NON-METROPOLITAN STABLE,2014-15
BANQUETE ISD,178913,G,NON-METROPOLITAN STABLE,2014-15
BARBERS HILL ISD,036902,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BARTLETT ISD,014902,H,RURAL,2014-15
BASIS TEXAS,015834,I,CHARTER SCHOOL DISTRICTS,2014-15
BASTROP ISD,011901,E,INDEPENDENT TOWN,2014-15
BAY AREA CHARTER INC,101809,I,CHARTER SCHOOL DISTRICTS,2014-15
BAY CITY ISD,158901,E,INDEPENDENT TOWN,2014-15
BEATRICE MAYES INSTITUTE CHARTER S,101847,I,CHARTER SCHOOL DISTRICTS,2014-15
BEAUMONT ISD,123910,C,OTHER CENTRAL CITY,2014-15
BECKVILLE ISD,183901,H,RURAL,2014-15
BEEVILLE ISD,013901,E,INDEPENDENT TOWN,2014-15
BELLEVUE ISD,039904,H,RURAL,2014-15
BELLS ISD,091901,H,RURAL,2014-15
BELLVILLE ISD,008901,E,INDEPENDENT TOWN,2014-15
BELTON ISD,014903,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BEN BOLT-PALITO BLANCO ISD,125902,H,RURAL,2014-15
BENAVIDES ISD,066901,H,RURAL,2014-15
BENJAMIN ISD,138904,H,RURAL,2014-15
BEXAR COUNTY ACADEMY,015809,I,CHARTER SCHOOL DISTRICTS,2014-15
BIG SANDY ISD,187901,H,RURAL,2014-15
BIG SANDY ISD,230901,H,RURAL,2014-15
BIG SPRING ISD,114901,E,INDEPENDENT TOWN,2014-15
BIG SPRINGS CHARTER SCHOOL,193801,I,CHARTER SCHOOL DISTRICTS,2014-15
BIRDVILLE ISD,220902,B,MAJOR SUBURBAN,2014-15
BISHOP CISD,178902,G,NON-METROPOLITAN STABLE,2014-15
BLACKWELL CISD,177903,H,RURAL,2014-15
BLANCO ISD,016902,G,NON-METROPOLITAN STABLE,2014-15
BLAND ISD,116915,H,RURAL,2014-15
BLANKET ISD,025904,H,RURAL,2014-15
BLOOMBURG ISD,034909,H,RURAL,2014-15
BLOOMING GROVE ISD,175902,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BLOOMINGTON ISD,235901,G,NON-METROPOLITAN STABLE,2014-15
BLUE RIDGE ISD,043917,H,RURAL,2014-15
BLUFF DALE ISD,072904,H,RURAL,2014-15
BLUM ISD,109913,H,RURAL,2014-15
BOB HOPE SCHOOL,123807,I,CHARTER SCHOOL DISTRICTS,2014-15
BOERNE ISD,130901,B,MAJOR SUBURBAN,2014-15
BOLES ISD,116916,H,RURAL,2014-15
BOLING ISD,241901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BONHAM ISD,074903,E,INDEPENDENT TOWN,2014-15
BOOKER ISD,148901,H,RURAL,2014-15
BORDEN COUNTY ISD,017901,H,RURAL,2014-15
BORGER ISD,117901,G,NON-METROPOLITAN STABLE,2014-15
BOSQUEVILLE ISD,161923,H,RURAL,2014-15
BOVINA ISD,185901,H,RURAL,2014-15
BOWIE ISD,169901,G,NON-METROPOLITAN STABLE,2014-15
BOYD ISD,249902,G,NON-METROPOLITAN STABLE,2014-15
BOYS RANCH ISD,180901,H,RURAL,2014-15
BRACKETT ISD,136901,H,RURAL,2014-15
BRADY ISD,160901,G,NON-METROPOLITAN STABLE,2014-15
BRAZOS ISD,008903,H,RURAL,2014-15
BRAZOS RIVER CHARTER SCHOOL,213801,I,CHARTER SCHOOL DISTRICTS,2014-15
BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,I,CHARTER SCHOOL DISTRICTS,2014-15
BRAZOSPORT ISD,020905,C,OTHER CENTRAL CITY,2014-15
BRECKENRIDGE ISD,215901,G,NON-METROPOLITAN STABLE,2014-15
BREMOND ISD,198901,H,RURAL,2014-15
BRENHAM ISD,239901,E,INDEPENDENT TOWN,2014-15
BRIDGE CITY ISD,181901,G,NON-METROPOLITAN STABLE,2014-15
BRIDGEPORT ISD,249903,E,INDEPENDENT TOWN,2014-15
BRIGHT IDEAS CHARTER,243801,I,CHARTER SCHOOL DISTRICTS,2014-15
BROADDUS ISD,203902,H,RURAL,2014-15
BROCK ISD,184909,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BRONTE ISD,041901,H,RURAL,2014-15
BROOKELAND ISD,121902,H,RURAL,2014-15
BROOKESMITH ISD,025908,H,RURAL,2014-15
BROOKS ACADEMY OF SCIENCE AND ENGI,015830,I,CHARTER SCHOOL DISTRICTS,2014-15
BROOKS COUNTY ISD,024901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BROWNFIELD ISD,223901,G,NON-METROPOLITAN STABLE,2014-15
BROWNSBORO ISD,107902,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BROWNSVILLE ISD,031901,C,OTHER CENTRAL CITY,2014-15
BROWNWOOD ISD,025902,E,INDEPENDENT TOWN,2014-15
BRUCEVILLE-EDDY ISD,161919,H,RURAL,2014-15
BRYAN ISD,021902,C,OTHER CENTRAL CITY,2014-15
BRYSON ISD,119901,H,RURAL,2014-15
BUCKHOLTS ISD,166907,H,RURAL,2014-15
BUENA VISTA ISD,186901,H,RURAL,2014-15
BUFFALO ISD,145901,G,NON-METROPOLITAN STABLE,2014-15
BULLARD ISD,212902,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BUNA ISD,121903,G,NON-METROPOLITAN STABLE,2014-15
BURKBURNETT ISD,243901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BURKEVILLE ISD,176901,H,RURAL,2014-15
BURLESON ISD,126902,C,OTHER CENTRAL CITY,2014-15
BURNET CISD,027903,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BURNHAM WOOD CHARTER SCHOOL DISTRI,071801,I,CHARTER SCHOOL DISTRICTS,2014-15
BURTON ISD,239903,H,RURAL,2014-15
BUSHLAND ISD,188904,D,OTHER CENTRAL CITY SUBURBAN,2014-15
BYNUM ISD,109902,H,RURAL,2014-15
C O R E ACADEMY,101869,I,CHARTER SCHOOL DISTRICTS,2014-15
CADDO MILLS ISD,116901,G,NON-METROPOLITAN STABLE,2014-15
CALALLEN ISD,178903,G,NON-METROPOLITAN STABLE,2014-15
CALDWELL ISD,026901,D,OTHER CENTRAL CITY SUBURBAN,2014-15
CALHOUN COUNTY ISD,029901,G,NON-METROPOLITAN STABLE,2014-15
CALLISBURG ISD,049905,G,NON-METROPOLITAN STABLE,2014-15
CALVERT ISD,198902,H,RURAL,2014-15
CALVIN NELMS CHARTER SCHOOLS,101837,I,CHARTER SCHOOL DISTRICTS,2014-15
CAMERON ISD,166901,G,NON-METROPOLITAN STABLE,2014-15
CAMPBELL ISD,116910,H,RURAL,2014-15
CANADIAN ISD,106901,F,NON-METROPOLITAN FAST GROWING,2014-15
CANTON ISD,234902,E,INDEPENDENT TOWN,2014-15
CANUTILLO ISD,071907,B,MAJOR SUBURBAN,2014-15
CANYON ISD,191901,C,OTHER CENTRAL CITY,2014-15
CARLISLE ISD,201913,H,RURAL,2014-15
CARRIZO SPRINGS CISD,064903,D,OTHER CENTRAL CITY SUBURBAN,2014-15
CARROLL ISD,220919,B,MAJOR SUBURBAN,2014-15
CARROLLTON-FARMERS BRANCH ISD,057903,B,MAJOR SUBURBAN,2014-15
CARTHAGE ISD,183902,G,NON-METROPOLITAN STABLE,2014-15
CASTLEBERRY ISD,220917,B,MAJOR SUBURBAN,2014-15
CAYUGA ISD,001902,H,RURAL,2014-15
CEDAR HILL ISD,057904,B,MAJOR SUBURBAN,2014-15
CEDARS INTERNATIONAL ACADEMY,227817,I,CHARTER SCHOOL DISTRICTS,2014-15
CELESTE ISD,116902,H,RURAL,2014-15
CELINA ISD,043903,G,NON-METROPOLITAN STABLE,2014-15
CENTER ISD,210901,E,INDEPENDENT TOWN,2014-15
CENTER POINT ISD,133901,H,RURAL,2014-15
CENTERVILLE ISD,145902,H,RURAL,2014-15
CENTERVILLE ISD,228904,H,RURAL,2014-15
CENTRAL HEIGHTS ISD,174908,F,NON-METROPOLITAN FAST GROWING,2014-15
CENTRAL ISD,003907,G,NON-METROPOLITAN STABLE,2014-15
CHANNELVIEW ISD,101905,B,MAJOR SUBURBAN,2014-15
CHANNING ISD,103901,H,RURAL,2014-15
CHAPARRAL STAR ACADEMY,227814,I,CHARTER SCHOOL DISTRICTS,2014-15
CHAPEL HILL ACADEMY,220815,I,CHARTER SCHOOL DISTRICTS,2014-15
CHAPEL HILL ISD,212909,D,OTHER CENTRAL CITY SUBURBAN,2014-15
CHAPEL HILL ISD,225906,G,NON-METROPOLITAN STABLE,2014-15
CHARLOTTE ISD,007901,H,RURAL,2014-15
CHEROKEE ISD,206903,H,RURAL,2014-15
CHESTER ISD,229906,H,RURAL,2014-15
CHICO ISD,249904,H,RURAL,2014-15
CHILDREN FIRST ACADEMY OF DALLAS,057811,I,CHARTER SCHOOL DISTRICTS,2014-15
CHILDRESS ISD,038901,G,NON-METROPOLITAN STABLE,2014-15
CHILLICOTHE ISD,099902,H,RURAL,2014-15
CHILTON ISD,073901,H,RURAL,2014-15
CHINA SPRING ISD,161920,D,OTHER CENTRAL CITY SUBURBAN,2014-15
CHIRENO ISD,174901,H,RURAL,2014-15
CHISUM ISD,139905,G,NON-METROPOLITAN STABLE,2014-15
CHRISTOVAL ISD,226901,H,RURAL,2014-15
